itemID|rec_1|rec_2|rec_3|rec_4|rec_5
54190|69640|42543|2414|21045|25266
61043|37928|27010|60620|39446|51978
78675|39750|60786|67355|40432|10936
40394|56065|62124|30016|16504|35847
43844|34549|49451|13026|38492|9448
27300|6685|22099|31701|5261|58298
22870|10127|43564|51847|52277|33472
61707|52698|23780|29847|33614|16645
17888|10543|61079|4401|34019|14434
48292|15264|50470|4593|58813|40183
2054|43130|41372|11716|22632|7729
6643|39750|60786|67355|40432|10936
3857|34202|29987|38540|6803|11016
64350|3112|27629|67683|75216|74632
10833|49451|13026|38492|9448|9631
33556|2528|45487|31282|24486|41526
23256|62954|6685|22099|31701|5261
53880|6285|45719|28687|74182|5983
75694|70984|5078|20859|39470|17528
17770|41740|24638|49077|54888|53934
9365|37928|27010|60620|39446|51978
11177|57799|21648|71472|36301|34565
48659|46886|67457|75444|2410|64576
18169|78964|49223|6407|57445|53053
48490|6685|22099|31701|5261|58298
70627|32262|28273|69452|60745|50877
40000|22104|241|32147|28706|63538
18665|59311|61311|30836|32337|57962
35574|29589|50157|6617|14748|13451
11732|62954|6685|22099|31701|5261
6798|6033|10736|13301|39097|44708
42415|78964|49223|6407|57445|53053
64236|34549|49451|13026|38492|9448
60644|40088|15570|50860|69705|55429
11595|6685|22099|31701|5261|58298
39957|48036|13139|38998|36048|16085
1519|32262|28273|69452|60745|50877
10075|6685|22099|31701|5261|58298
25209|22338|72124|46540|4246|53125
7108|6685|22099|31701|5261|58298
67848|61079|4401|34019|14434|45969
40424|57674|38611|16911|39973|22567
72523|72774|10828|3246|7056|3202
60588|25741|54337|10127|43564|51847
21315|6685|22099|31701|5261|58298
50356|73780|34714|23026|51147|43314
75904|16246|8231|78523|35231|66935
17240|38235|21538|14808|54552|31592
24218|52698|23780|29847|33614|16645
21949|23780|29847|33614|16645|71321
6478|38611|16911|39973|22567|21735
76242|15264|50470|4593|58813|40183
71112|10543|61079|4401|34019|14434
76437|59311|61311|30836|32337|57962
52656|57674|38611|16911|39973|22567
10304|59311|61311|30836|32337|57962
25399|33343|16398|12751|5714|48882
71619|48786|19789|57634|20339|61916
31439|49223|6407|57445|53053|60804
14323|18431|14945|20354|51358|26382
10842|48923|19176|37485|66425|9199
39515|34549|49451|13026|38492|9448
59732|43217|55929|57644|76657|72192
56452|49373|58280|33022|10717|35475
53496|11064|68453|59311|61311|30836
27903|31123|64197|50579|70560|53029
53672|60509|31227|60207|48627|70420
29813|66080|46315|51156|18098|74016
67909|36560|47291|36080|2900|2507
36620|35880|65604|5027|39609|31720
44197|44245|39230|62976|11908|17106
68772|78964|49223|6407|57445|53053
72058|43217|55929|57644|72192|37852
17921|16398|33343|12751|5714|48882
67832|39335|33159|40081|69734|2518
73203|241|32147|28706|63538|9726
30873|38611|16911|39973|22567|21735
46059|23702|5993|42160|65031|44644
49615|77442|69382|24854|21409|13675
76629|5630|41241|29104|50954|47681
55488|67700|17771|75799|60959|70875
30713|61591|12343|66092|65825|52398
3527|64315|65373|4007|63764|3007
52884|58078|39750|60786|67355|40432
48270|74242|31281|36942|45421|19628
18224|39750|60786|67355|40432|10936
39309|21858|67960|37562|35151|24538
11265|77305|59402|11918|6855|25904
8288|10548|57799|21648|71472|36301
40312|35422|2359|60376|34864|36909
35418|6685|22099|31701|5261|58298
78181|36911|12813|34648|19157|52090
8859|63524|24895|57404|17463|33267
3875|34202|29987|38540|6803|11016
17348|6248|49638|33771|77783|1092
37321|21733|11572|4679|61567|2446
22277|37354|67377|69930|75437|58895
52705|61079|4401|34019|14434|45969
26856|18203|6281|25630|63707|33491
36095|15781|68927|65136|13425|47218
66497|57799|21648|71472|36301|34565
55326|34549|49451|13026|38492|9448
3959|15824|7918|18019|68726|22527
66928|34549|49451|13026|38492|9448
23159|28802|76337|55429|69705|50860
76762|38611|16911|39973|22567|21735
73748|33343|12751|5714|48882|19104
8248|33343|12751|5714|48882|19104
39766|6685|22099|31701|5261|58298
49234|6886|53237|4591|60613|3202
23366|72124|46540|4246|53125|63043
59734|68388|27392|9969|68143|41519
41020|37928|27010|60620|39446|51978
74389|15264|50470|4593|58813|40183
8538|62741|44246|12510|59285|3099
40113|49451|13026|38492|9448|9631
32980|10436|72716|44841|12118|923
47068|6685|22099|31701|5261|58298
20083|20287|52786|39296|18928|41369
31728|43217|55929|57644|72192|37852
52192|23780|29847|33614|16645|71321
62732|14056|7930|25388|25513|74007
30746|33343|12751|5714|48882|19104
22622|22338|72124|46540|4246|53125
54612|6685|22099|31701|5261|58298
59032|21828|53395|77851|7976|58021
26385|17463|33267|63524|24895|57404
65461|59311|61311|30836|32337|57962
54835|22338|72124|46540|4246|53125
54737|45599|69073|47221|23340|31968
76905|74184|25415|45752|61038|37778
45093|70116|70615|19349|18686|71073
31273|57674|38611|16911|39973|22567
851|64315|65373|4007|63764|3007
16935|39268|19477|11001|73840|40954
28379|61079|4401|34019|14434|45969
17009|68903|37981|7094|40435|34520
1486|241|32147|28706|63538|9726
62630|37928|27010|60620|39446|51978
34682|34549|49451|13026|38492|9448
6741|38611|16911|39973|22567|21735
20852|59311|61311|30836|32337|57962
22265|45788|17880|72775|7049|63312
2244|26267|15928|44171|24159|19466
26396|79058|24910|6568|30489|68863
48796|57674|38611|16911|39973|22567
45501|72717|48937|26320|8703|45722
26445|6685|22099|31701|5261|58298
457|49451|13026|38492|9448|9631
35752|52651|37928|27010|60620|39446
47491|39750|60786|67355|40432|10936
43762|31629|76611|52854|64370|20939
23599|37928|27010|60620|39446|51978
13325|27044|50095|22578|38442|43451
3273|36913|62851|18133|9568|63512
2257|6685|22099|31701|5261|58298
34670|34549|49451|13026|38492|9448
74105|60053|51097|40224|12940|68068
35720|50470|4593|58813|40183|27836
71526|27152|27764|59228|70312|12467
21737|13218|58078|39750|60786|67355
7860|10127|43564|51847|52277|33472
41648|9902|70515|78792|65123|18947
1640|6685|22099|31701|5261|58298
33814|37928|27010|60620|39446|51978
19717|33343|12751|5714|48882|19104
78998|6685|22099|31701|5261|58298
23643|59446|31484|40074|30492|71256
68712|43701|19581|38801|64177|55582
63739|74738|44420|42334|43203|55993
42328|39750|60786|67355|40432|10936
23446|29222|59446|31484|40074|30492
21285|14323|30390|32789|9439|72363
72959|61079|4401|34019|14434|45969
8548|25536|53355|34228|65231|45503
21221|10127|43564|51847|52277|33472
12564|24802|30311|47681|50954|40379
9577|69265|42090|36106|21261|28944
29381|34549|49451|13026|38492|9448
19688|25937|6934|159|18968|51755
45195|48654|69482|79032|46970|17781
22775|49451|13026|38492|9448|9631
13131|57674|38611|16911|39973|22567
8861|68156|37408|38485|31931|51566
1680|17287|39615|33786|18824|73646
62200|39224|43217|55929|57644|72192
73868|61079|4401|34019|14434|45969
7666|27124|11918|76874|5935|49071
7084|78964|49223|6407|57445|53053
74586|70580|35034|27041|14093|39458
2335|10414|51929|61942|12873|29893
22877|22338|72124|46540|4246|53125
68509|39181|25937|6934|159|18968
28737|39181|25937|6934|159|18968
66339|61079|4401|34019|14434|45969
49803|52698|23780|29847|33614|16645
14189|54737|73646|18824|27710|40926
9884|26240|39419|11820|71012|51472
67630|44171|15928|26267|28080|14323
11407|10127|43564|51847|52277|33472
8384|51109|15436|77147|60395|10793
75345|414|18324|32900|10502|33087
45841|57674|38611|16911|39973|22567
63764|41743|64315|65373|4007|3007
70197|66898|38136|28085|78061|45399
32109|48783|52901|54435|46298|34948
30434|1856|2696|76212|58228|70993
45358|10127|43564|51847|52277|33472
52721|59311|61311|30836|32337|57962
58820|15117|9231|65806|23641|16793
70803|23780|29847|33614|16645|71321
50338|25814|8668|77769|24379|45937
66493|43217|55929|57644|72192|37852
52519|241|32147|28706|63538|9726
37378|55699|78643|23654|58522|74398
49952|56742|21294|20316|60074|44041
75882|414|18324|32900|10502|33087
7445|34549|49451|13026|38492|9448
17850|39522|68033|76900|22949|20691
42566|10548|57799|21648|71472|36301
29708|44791|75050|59807|78234|68837
46476|33343|12751|5714|48882|19104
14470|38611|16911|39973|22567|21735
43679|78964|49223|6407|57445|53053
40279|24507|28184|51379|18221|65423
24002|49223|6407|57445|53053|60804
68253|73224|55373|21666|58257|33874
15581|35011|67062|41013|67273|18868
73552|27265|39741|9272|26592|42349
38164|49451|13026|38492|9448|9631
58779|27978|13442|41956|4626|8007
57464|39750|60786|67355|40432|10936
56827|21589|550|65566|30982|2697
76331|34549|49451|13026|38492|9448
12568|55240|6178|70481|38527|72637
63107|6685|22099|31701|5261|58298
39971|44867|42729|55272|14226|57968
24776|70516|1892|7323|51320|51978
65811|77966|36174|31465|35880|42715
77175|65851|16903|55821|59854|52751
53717|52651|37928|27010|60620|39446
50340|6685|22099|31701|5261|58298
77554|54337|10127|43564|51847|52277
63279|37928|27010|60620|39446|51978
59821|34549|49451|13026|38492|9448
12725|37928|27010|60620|39446|51978
1235|1856|2696|76212|58228|70993
34899|11457|62096|37642|38650|70464
37797|39750|60786|67355|40432|10936
29368|38611|16911|39973|22567|21735
11378|33342|38610|21392|26917|21259
59092|56657|23803|34673|55902|17969
5362|8542|1041|24433|23758|31030
47933|38611|16911|39973|22567|21735
68560|37020|16283|31921|65802|57687
57628|34549|49451|13026|38492|9448
11682|34549|49451|13026|38492|9448
18601|35139|62815|44490|32276|3648
58566|48385|66410|67066|31422|70081
29217|33343|12751|5714|48882|19104
64901|5739|5658|22764|25971|671
6359|12311|30444|57074|43897|53600
54801|29413|33103|20258|41202|56146
66017|39181|25937|6934|159|18968
28302|62954|6685|22099|31701|5261
19235|16047|20919|46067|6436|31915
24078|51097|40224|12940|68068|57343
7924|34549|49451|13026|38492|9448
2993|37928|27010|60620|39446|51978
71202|41884|45114|35982|72482|53525
38543|49274|51634|16631|979|25276
9943|10543|61079|4401|34019|14434
24706|63883|890|9692|32369|65761
17298|64335|74109|46468|61266|58412
49279|34549|49451|13026|38492|9448
7129|59311|61311|30836|32337|57962
54586|39750|60786|67355|40432|10936
55270|414|18324|32900|10502|33087
16937|39181|25937|6934|159|18968
44508|73750|414|18324|32900|10502
28976|52651|37928|27010|60620|39446
9612|10543|61079|4401|34019|14434
43313|39750|60786|67355|40432|10936
46237|59311|61311|30836|32337|57962
14883|39224|43217|55929|57644|72192
71036|57199|50760|10542|19012|36098
71886|28519|77481|22527|22599|51784
70372|39181|25937|6934|159|18968
14750|50470|4593|58813|40183|27836
52053|194|29104|41241|40834|58069
51638|34549|49451|13026|38492|9448
61875|64315|65373|4007|63764|3007
42039|37928|27010|60620|39446|51978
25598|62954|6685|22099|31701|5261
23417|31709|1604|9795|41088|68836
30446|68614|55396|78469|42152|42961
27104|15264|50470|4593|58813|40183
61715|33343|16398|12751|5714|48882
72826|51506|78391|1506|58421|75079
7415|39181|25937|6934|159|18968
11688|77965|71643|17886|62764|59702
12209|45788|17880|72775|7049|63312
79016|1152|44077|62582|35393|70450
6019|34549|49451|13026|38492|9448
14436|52698|23780|29847|33614|16645
75422|21802|10904|35664|2239|73359
10482|35748|4369|63135|57808|58699
24686|50470|4593|58813|40183|27836
50313|6685|22099|31701|5261|58298
58067|50801|59012|15508|61619|28816
37854|49451|13026|38492|9448|9631
24118|25441|35574|14109|45880|42249
66750|45788|17880|72775|7049|63312
8116|60053|51097|40224|12940|68068
62540|34965|50891|36071|5291|32266
25663|33948|39615|51788|43256|46698
16585|69265|42090|36106|21261|28944
28466|57674|38611|16911|39973|22567
42531|35324|18403|52951|73279|3017
39680|35476|18148|58737|4087|43940
51560|34549|49451|13026|38492|9448
13374|57674|38611|16911|39973|22567
18441|39750|60786|67355|40432|10936
13880|33343|12751|5714|48882|19104
17383|59311|61311|30836|32337|57962
13014|78964|49223|6407|57445|53053
57674|38611|16911|39973|22567|21735
18756|48036|13139|38998|36048|16085
51964|30778|30911|26836|12115|37738
27403|15264|50470|4593|58813|40183
10871|57674|38611|16911|39973|22567
35456|78964|49223|6407|57445|53053
74872|15264|50470|4593|58813|40183
63796|24362|19623|53156|14336|38300
63457|17880|72775|7049|63312|43807
55057|22338|72124|46540|4246|53125
47336|39224|43217|55929|57644|72192
43032|23780|29847|33614|16645|71321
63855|25388|14056|46904|71552|64897
72231|10127|43564|51847|52277|33472
11527|43347|12335|46725|37063|75074
31548|20263|60120|68012|49265|64451
62812|43217|55929|57644|76657|72192
20266|5058|32636|54354|21836|3626
59605|57674|38611|16911|39973|22567
57163|25937|6934|159|18968|51755
34307|34549|49451|13026|38492|9448
65903|61079|4401|34019|14434|45969
28580|6685|22099|31701|5261|58298
5197|61079|4401|34019|14434|45969
34939|58194|21146|11638|71771|26722
59859|66292|69394|45814|22723|71218
12077|24431|6940|75133|71750|18949
75539|34549|49451|13026|38492|9448
24979|61079|4401|34019|14434|45969
47684|35624|69020|62206|37040|78487
37711|23780|29847|33614|16645|71321
14162|49223|6407|57445|53053|60804
30806|57674|38611|16911|39973|22567
65785|42543|2414|21045|25266|15352
2723|35139|62815|44490|32276|3648
52874|38575|515|5100|40188|65136
2612|66968|18203|6281|25630|63707
63908|25366|47196|10031|33898|51338
12075|34549|49451|13026|38492|9448
78080|4829|11487|1969|70025|56275
39083|48305|70738|7078|75567|24478
64333|48338|6984|65787|18017|72334
12640|29222|59446|31484|40074|30492
41002|39522|68033|76900|22949|20691
27038|67982|78834|26775|24352|50071
38637|45788|17880|72775|7049|63312
44894|57674|38611|16911|39973|22567
35904|34549|49451|13026|38492|9448
38819|5427|43134|5521|46673|9795
30628|48397|6317|54420|39723|77008
6790|21961|20221|34849|57534|32390
38368|53549|65123|42604|31263|37738
27726|71501|22603|35526|27042|9578
4890|45114|35982|72482|53525|55411
37429|59311|61311|30836|32337|57962
57598|57674|38611|16911|39973|22567
44452|39522|68033|76900|22949|20691
77629|74184|25415|45752|61038|37778
44327|78964|49223|6407|57445|53053
21276|77251|14767|56232|29377|31366
46655|12541|67577|50454|48884|13495
35579|49451|13026|38492|9448|9631
56629|72124|46540|4246|53125|63043
47549|13026|38492|9448|9631|67677
31827|29413|33103|20258|41202|56146
41447|11291|67333|26244|37857|49790
57018|69640|42543|2414|21045|25266
69755|2186|78729|18485|48888|73524
16190|65212|22809|5097|47218|79014
48231|22338|72124|46540|4246|53125
58737|35476|18148|39680|4087|43940
9001|39750|60786|67355|40432|10936
19462|15264|50470|4593|58813|40183
15267|49374|60479|2846|9973|58062
68076|57674|38611|16911|39973|22567
17617|28282|32574|29679|70221|42645
43701|67339|57366|17034|26798|5354
66224|52651|37928|27010|60620|39446
23132|36312|60897|9816|6436|16047
23535|34202|29987|38540|6803|11016
18479|34549|49451|13026|38492|9448
63017|42688|52622|68017|17032|1181
61316|46172|15264|50470|4593|58813
56775|9376|6022|32508|39641|66967
66954|39181|25937|6934|159|18968
32532|45788|17880|72775|7049|63312
53813|34235|22020|10405|46157|30610
43877|34549|49451|13026|38492|9448
34078|38611|16911|39973|22567|21735
58561|54748|68903|37981|7094|40435
77952|27035|43929|55405|57390|48579
34978|414|18324|32900|10502|33087
337|45788|17880|72775|7049|63312
25367|57674|38611|16911|39973|22567
35094|10543|61079|4401|34019|14434
24459|79058|24910|6568|30489|68863
10745|48449|50162|40677|64891|63505
59769|6685|22099|31701|5261|58298
54929|33343|16398|12751|5714|48882
78279|49274|41846|37788|6825|48340
62535|74330|1152|44077|62582|35393
3268|61079|4401|34019|14434|45969
663|72124|46540|4246|53125|63043
32451|60053|51097|40224|12940|68068
21607|60143|22338|72124|46540|4246
46904|44912|77435|78530|46858|18061
58236|17783|19488|74404|27385|1807
25488|33343|12751|5714|48882|19104
58262|75874|71218|61142|6970|12976
38083|74700|15740|69135|45800|56669
3059|13026|38492|9448|9631|67677
49587|60143|22338|72124|46540|4246
32126|15101|25229|39139|56224|42453
48127|57674|38611|16911|39973|22567
59649|59612|19380|26121|30287|49861
17465|34549|49451|13026|38492|9448
53838|34318|52489|69481|7690|15882
37146|70116|70615|19349|18686|71073
40692|57743|37837|69779|27878|67700
53134|40401|2847|2680|24063|30559
10841|72124|46540|4246|53125|63043
11169|45788|17880|72775|7049|63312
68764|52698|23780|29847|33614|16645
57342|21733|11572|4679|61567|2446
11603|34549|49451|13026|38492|9448
69838|78833|61065|54511|19820|21515
37998|61079|4401|34019|14434|45969
35898|15669|53108|58058|41974|20339
51042|49223|6407|57445|53053|60804
44118|21215|19385|35327|4471|49954
67506|42090|36106|21261|28944|28772
636|7991|27925|6685|22099|31701
2579|33671|73446|60365|72244|41241
45286|45788|17880|72775|7049|63312
18427|50470|4593|58813|40183|27836
28844|54609|72734|65237|76018|17643
65714|414|18324|32900|10502|33087
24554|78964|49223|6407|57445|53053
36175|49451|13026|38492|9448|9631
72138|18203|6281|25630|63707|33491
45594|48036|13139|38998|36048|16085
24747|9743|40080|31357|37372|68898
26662|5405|54609|72734|50495|39641
33525|57674|38611|16911|39973|22567
8296|44867|42729|55272|14226|57968
56597|39750|60786|67355|40432|10936
61794|61079|4401|34019|14434|45969
27261|29990|52577|18259|47504|48112
468|63552|370|3570|46673|26320
29448|55046|55839|39693|38564|77938
726|25937|6934|159|18968|51755
55154|6685|22099|31701|5261|58298
7977|17840|4331|57238|62211|74700
53078|49451|13026|38492|9448|9631
34125|49451|13026|38492|9448|9631
71063|14336|38300|51501|50763|54864
67063|19343|45032|16604|61771|43425
47597|73438|60143|22338|72124|46540
52305|28028|15312|69007|56195|62789
65833|6685|22099|31701|5261|58298
5733|74115|47101|4824|9438|49763
33494|414|18324|32900|10502|33087
10881|15514|48423|57111|57161|35034
74196|57145|77126|43801|25513|857
22160|6685|22099|31701|5261|58298
70190|57674|38611|16911|39973|22567
16191|33343|16398|12751|5714|48882
6363|53312|14265|63399|68365|34964
51060|18824|40926|50902|6201|16008
41219|52698|23780|29847|33614|16645
53100|52698|23780|29847|33614|16645
45871|23780|29847|33614|16645|71321
29083|65851|46801|63645|17771|20483
61636|78964|49223|6407|57445|53053
42715|49030|36174|11273|42417|77966
32754|39750|60786|67355|40432|10936
72607|17880|72775|7049|63312|43807
6955|9023|45237|69734|2528|4645
2399|21733|11572|4679|61567|2446
60216|38611|16911|39973|22567|21735
26438|22338|72124|46540|4246|53125
57977|28028|59457|15175|32791|46184
47675|55699|78643|23654|58522|74398
51832|414|18324|32900|10502|33087
29972|10543|61079|4401|34019|14434
33790|34549|49451|13026|38492|9448
45390|57674|38611|16911|39973|22567
11609|8313|72745|40144|71120|31717
73256|50470|4593|58813|40183|27836
20740|57674|38611|16911|39973|22567
24746|10127|43564|51847|52277|33472
33956|78182|37676|72055|64892|46730
11253|15910|74577|65711|69971|51292
5255|74184|25415|45752|61038|37778
24675|64564|32956|4675|63508|44553
58404|34549|49451|13026|38492|9448
47464|34735|78702|31583|49836|64284
39665|59446|31484|40074|30492|71256
18622|38611|16911|39973|22567|21735
54066|39360|57563|76940|25354|63421
30229|16246|8231|78523|35231|66935
71353|37616|27178|78761|29751|31263
14037|26884|19176|37485|66425|9199
71784|10708|65961|53563|38080|12037
46951|38611|16911|39973|22567|21735
61514|57674|38611|16911|39973|22567
27259|57674|38611|16911|39973|22567
45613|6475|1374|22372|58341|1521
22972|59446|31484|40074|30492|71256
45435|6685|22099|31701|5261|58298
62993|42729|55272|14226|57968|58818
64509|39055|38353|30816|56244|26606
46931|50330|71077|59843|28313|36243
65465|70407|55328|60326|72286|67082
60384|57674|38611|16911|39973|22567
31881|77956|70706|48325|68629|32762
67229|39224|43217|55929|57644|72192
58605|62954|6685|22099|31701|5261
6530|5177|47313|60326|66691|11435
43304|58687|56626|10630|53305|5009
21179|49451|13026|38492|9448|9631
28853|52698|23780|29847|33614|16645
47632|6685|22099|31701|5261|58298
15039|37928|27010|60620|39446|51978
72722|60430|34372|4017|31510|27041
45270|38650|42715|60081|1025|23834
61339|77380|68987|17479|460|36468
48791|42543|2414|21045|25266|15352
32110|6285|45719|28687|74182|5983
33558|3967|26408|37498|32325|71596
21639|17511|255|1048|42027|70181
47838|37928|27010|60620|39446|51978
78241|11562|53764|15185|57496|74871
6413|39224|43217|55929|57644|72192
27334|57674|38611|16911|39973|22567
3425|52651|37928|27010|60620|39446
29779|17880|72775|7049|63312|43807
45827|65409|36919|70527|22805|27754
39627|54476|19953|75485|17633|71660
39590|39750|60786|67355|40432|10936
1103|32262|28273|69452|60745|50877
74813|36856|16676|26319|57457|50071
39000|1582|55405|7541|65958|42989
10434|59311|61311|30836|32337|57962
18320|74752|7322|39933|76402|63093
47893|16283|37020|57602|1689|68849
10426|57674|38611|16911|39973|22567
9179|32262|28273|69452|60745|50877
58906|6514|57248|11544|51319|66145
51702|75247|39739|53293|7528|41854
35470|41132|43047|45936|59397|27196
30816|41489|13301|46192|35366|39097
69589|59311|61311|30836|32337|57962
8109|45788|17880|72775|7049|63312
62276|19466|44171|15928|26267|28080
64534|46305|30414|44027|25985|50523
5300|8324|58398|51248|42803|67554
54461|61079|4401|34019|14434|45969
10326|35135|32259|75471|47731|50944
1071|6685|22099|31701|5261|58298
20234|241|32147|28706|63538|9726
4525|6685|22099|31701|5261|58298
62509|65136|57482|79014|56502|72292
39941|78391|1506|58421|75079|42936
3583|69640|42543|2414|21045|25266
35236|17880|72775|7049|63312|43807
42326|10379|22321|17922|5048|10990
22868|38590|14745|13711|24044|19073
28533|78885|10821|11207|11387|66423
61752|45788|17880|72775|7049|63312
45955|42090|36106|21261|28944|28772
3166|78435|44958|66636|35233|24426
1168|24426|53108|7659|41974|49628
259|70689|34549|49451|13026|38492
60087|34549|49451|13026|38492|9448
12311|8436|1694|26267|63235|70181
66633|1041|24433|23758|31030|40498
65860|2847|2680|24063|30559|46036
52748|51641|54928|76836|33105|45671
35638|3013|3644|43832|23622|75518
23349|29687|48691|10821|12435|55478
30313|75272|6901|16830|11833|16335
5498|72124|46540|4246|53125|63043
45424|2847|2680|24063|30559|46036
15472|49223|6407|57445|53053|60804
13056|32262|28273|69452|60745|50877
14122|62954|6685|22099|31701|5261
50582|1386|48385|66410|67066|31422
38840|1856|2696|76212|58228|70993
63023|12069|36964|4685|2928|28831
8516|61266|10629|36196|25244|16047
47014|39522|68033|76900|22949|20691
49396|61079|4401|34019|14434|45969
75774|70689|34549|49451|13026|38492
13180|38611|16911|39973|22567|21735
16340|34549|49451|13026|38492|9448
78314|45114|35982|72482|53525|55411
1460|49223|6407|57445|53053|60804
38005|69020|35624|57039|25301|23105
42622|34549|49451|13026|38492|9448
38523|2966|74535|46999|53401|2774
74041|48857|78840|60808|5015|48132
37011|41640|52579|47642|11549|50841
6288|57674|38611|16911|39973|22567
62728|26216|7225|51338|63883|890
15949|45788|17880|72775|7049|63312
15715|22338|72124|46540|4246|53125
10097|33343|12751|5714|48882|19104
66177|24044|30031|73685|52528|12234
16746|52651|37928|27010|60620|39446
18879|43052|38260|66075|68629|42797
7655|6685|22099|31701|5261|58298
53378|33343|12751|5714|48882|19104
15167|39750|60786|67355|40432|10936
33517|42090|36106|21261|28944|28772
2975|48036|13139|38998|36048|16085
62454|49451|13026|38492|9448|9631
51133|15117|9231|65806|23641|16793
71805|66968|18203|6281|25630|63707
67073|1856|2696|76212|58228|70993
77384|13708|64396|54343|21798|45783
5844|49223|6407|57445|53053|60804
52718|69734|23050|38034|44420|2121
15767|16390|35901|17328|69978|59644
45935|44245|39230|62976|11908|17106
2142|33343|16398|12751|5714|48882
31637|34549|49451|13026|38492|9448
31129|69653|48388|49628|21297|10147
76150|18203|6281|25630|63707|33491
75867|51097|40224|12940|68068|57343
24085|57674|38611|16911|39973|22567
13973|38611|16911|39973|22567|21735
70180|54623|36936|13074|53723|47201
77574|58078|39750|60786|67355|40432
62162|5070|2226|28814|22457|68986
40017|27010|60620|39446|51978|36921
49479|18865|43134|25828|5521|14983
9036|37928|27010|60620|39446|51978
14314|25971|52355|4833|5739|77255
54145|49223|6407|57445|53053|60804
36939|34549|49451|13026|38492|9448
13269|4984|18351|15478|34829|78488
24486|13896|48670|35074|29708|15880
31685|41198|35750|6222|41333|3361
55613|2696|76212|58228|70993|15054
10307|64330|48036|13139|38998|36048
31085|57063|74271|48240|55161|66913
12152|10543|61079|4401|34019|14434
1399|9074|52595|28630|44080|9389
47621|42090|36106|21261|28944|28772
77524|21276|74398|51891|9196|37255
72017|59311|61311|30836|32337|57962
68427|63291|63382|76118|17539|78553
45238|64336|51769|39641|46086|50495
1777|5961|42143|45658|8620|35726
64596|34549|49451|13026|38492|9448
53660|66589|24219|40815|39854|60952
53793|62024|7879|34773|63851|18704
53003|1856|2696|76212|58228|70993
30144|39181|25937|6934|159|18968
59985|52698|23780|29847|33614|16645
5384|69978|50242|57864|39061|39865
70911|58964|24317|64308|20625|30774
54790|6685|22099|31701|5261|58298
66903|27010|60620|39446|51978|36921
49099|1856|2696|76212|58228|70993
35947|34549|49451|13026|38492|9448
18424|77333|1931|53610|19987|13091
1177|69440|8815|26174|51195|13280
25513|1685|53108|58058|30116|70041
56477|60703|58284|64062|36059|75394
19649|27044|22578|50095|18591|38442
28731|33343|12751|5714|48882|19104
35048|43900|77302|61315|28956|68733
47192|54968|72861|5619|25664|68187
56453|78964|49223|6407|57445|53053
56939|51198|20775|44215|67860|39747
18904|59446|31484|40074|30492|71256
44025|45959|62833|75472|30482|23031
9012|62086|2729|26884|19176|37485
5892|37928|27010|60620|39446|51978
5119|48036|13139|38998|36048|16085
19874|30282|13462|43804|14119|57339
41477|8542|1041|24433|23758|31030
